Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bogor,5682.3,1.23,11.29,1899,105.2
Sukabumi,2828,0.99,5.62,679,102.8
Cianjur,2585,1.14,5.13,712,104.7
Bandung,3753.1,0.94,7.45,2156,103.5
Garut,2717,1.33,5.4,876,104.6
Tasikmalaya,1920.9,0.79,3.82,710,102.4
Ciamis,1259.2,0.65,2.5,789,99.9
Kuningan,1213.9,1.04,2.41,1018,102.6
Cirebon,2388,1.35,4.74,2228,102.5
Majalengka,1352.5,0.95,2.69,1017,100.6
Sumedang,1187.1,0.79,2.36,758,101.5
Indramayu,1914,1.14,3.8,922,100.7
Subang,1663.2,1.12,3.3,768,100.2
Purwakarta,1050.3,1.38,2.09,1058,102.8
Karawang,2554.4,1.24,5.07,1335,102.1
Bekasi,3273.9,1.35,6.5,2617,102.5
Bandung Barat,1884.2,1.4,3.74,1468,103.9
Pangandaran,434.1,0.65,0.86,385,99.8
Kota Bogor,1078.4,0.89,2.14,9683,102.5
Kota Sukabumi,365.7,1.46,0.73,7571,101
Kota Bandung,2528.2,0.91,5.02,15176,100.8
Kota Cirebon,344.9,0.91,0.68,8744,100.7
Kota Bekasi,2644.1,1.04,5.25,12411,100.9
Kota Depok,2163.6,1.37,4.3,10823,101.3
Kota Cimahi,598.7,1.39,1.19,14110,101.6
Kota Tasikmalaya,750.7,1.27,1.49,4081,102.5
Kota Banjar,209.8,1.15,0.42,1601,100.8
Jawa Barat,50345.2,1.13,100,1359,102.6