Kabupaten/Kota,
,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak (Persen)
,2022
Provinsi Jawa Barat,74.02
Bogor,73.47
Sukabumi,63.32
Cianjur,61.76
Bandung,70.85
Garut,51.9
Tasikmalaya,54.39
Ciamis,75.5
Kuningan,69.29
Cirebon,86.76
Majalengka,81.26
Sumedang,80.59
Indramayu,86.64
Subang,80.02
Purwakarta,82.46
Karawang,85.1
Bekasi,89.99
Bandung Barat,50.96
Pangandaran,83
Kota Bogor,67.93
Kota Sukabumi,45.8
Kota Bandung,49.85
Kota Cirebon,90.62
Kota Bekasi,90.8
Kota Depok,96.21
Kota Cimahi,77.18
Kota Tasikmalaya,52.62
Kota Banjar,88.26