Kab/Kota,Lat,Lon,Tahun,Suhu_Udara_C,Curah_Hujan_mm
Bogor,-6.595,106.816,2021,24.7,3015.0
Bogor,-6.595,106.816,2022,24.7,2592.0
Bogor,-6.595,106.816,2023,25.3,1738.0
Bogor,-6.595,106.816,2024,25.6,2871.0
Bogor,-6.595,106.816,2025,25.0,2820.0
Sukabumi,-6.918,106.929,2021,23.9,3375.0
Sukabumi,-6.918,106.929,2022,23.8,3343.0
Sukabumi,-6.918,106.929,2023,24.1,2149.0
Sukabumi,-6.918,106.929,2024,24.6,3651.0
Sukabumi,-6.918,106.929,2025,24.1,3279.0
Cianjur,-6.822,107.139,2021,23.9,3375.0
Cianjur,-6.822,107.139,2022,23.8,3343.0
Cianjur,-6.822,107.139,2023,24.1,2149.0
Cianjur,-6.822,107.139,2024,24.6,3651.0
Cianjur,-6.822,107.139,2025,24.1,3279.0
Bandung,-7.021,107.57,2021,21.5,3560.0
Bandung,-7.021,107.57,2022,21.5,3419.0
Bandung,-7.021,107.57,2023,21.8,2268.0
Bandung,-7.021,107.57,2024,22.2,3794.0
Bandung,-7.021,107.57,2025,21.7,3294.0
Garut,-7.212,107.906,2021,22.9,2962.0
Garut,-7.212,107.906,2022,22.8,2971.0
Garut,-7.212,107.906,2023,22.9,1917.0
Garut,-7.212,107.906,2024,23.5,2930.0
Garut,-7.212,107.906,2025,23.0,3286.0
Tasikmalaya,-7.353,108.224,2021,24.1,3800.0
Tasikmalaya,-7.353,108.224,2022,24.1,4631.0
Tasikmalaya,-7.353,108.224,2023,23.8,2804.0
Tasikmalaya,-7.353,108.224,2024,24.5,4128.0
Tasikmalaya,-7.353,108.224,2025,24.3,4379.0
Ciamis,-7.329,108.351,2021,24.1,3800.0
Ciamis,-7.329,108.351,2022,24.1,4631.0
Ciamis,-7.329,108.351,2023,23.8,2804.0
Ciamis,-7.329,108.351,2024,24.5,4128.0
Ciamis,-7.329,108.351,2025,24.3,4379.0
Kuningan,-6.975,108.48,2021,25.0,2725.0
Kuningan,-6.975,108.48,2022,24.9,2886.0
Kuningan,-6.975,108.48,2023,25.1,1688.0
Kuningan,-6.975,108.48,2024,25.6,2254.0
Kuningan,-6.975,108.48,2025,25.1,3397.0
Cirebon,-6.761,108.476,2021,25.0,2725.0
Cirebon,-6.761,108.476,2022,24.9,2886.0
Cirebon,-6.761,108.476,2023,25.1,1688.0
Cirebon,-6.761,108.476,2024,25.6,2254.0
Cirebon,-6.761,108.476,2025,25.1,3397.0
Majalengka,-6.836,108.228,2021,22.9,2962.0
Majalengka,-6.836,108.228,2022,22.8,2971.0
Majalengka,-6.836,108.228,2023,22.9,1917.0
Majalengka,-6.836,108.228,2024,23.5,2930.0
Majalengka,-6.836,108.228,2025,23.0,3286.0
Sumedang,-6.855,107.92,2021,22.9,2962.0
Sumedang,-6.855,107.92,2022,22.8,2971.0
Sumedang,-6.855,107.92,2023,22.9,1917.0
Sumedang,-6.855,107.92,2024,23.5,2930.0
Sumedang,-6.855,107.92,2025,23.0,3286.0
Indramayu,-6.327,108.324,2021,26.6,2919.0
Indramayu,-6.327,108.324,2022,26.5,2732.0
Indramayu,-6.327,108.324,2023,27.0,1790.0
Indramayu,-6.327,108.324,2024,27.3,2556.0
Indramayu,-6.327,108.324,2025,26.7,3029.0
Subang,-6.571,107.762,2021,25.4,3053.0
Subang,-6.571,107.762,2022,25.4,2605.0
Subang,-6.571,107.762,2023,25.9,1813.0
Subang,-6.571,107.762,2024,26.2,2969.0
Subang,-6.571,107.762,2025,25.7,2831.0
Purwakarta,-6.556,107.443,2021,25.4,3053.0
Purwakarta,-6.556,107.443,2022,25.4,2605.0
Purwakarta,-6.556,107.443,2023,25.9,1813.0
Purwakarta,-6.556,107.443,2024,26.2,2969.0
Purwakarta,-6.556,107.443,2025,25.7,2831.0
Karawang,-6.321,107.339,2021,25.4,3053.0
Karawang,-6.321,107.339,2022,25.4,2605.0
Karawang,-6.321,107.339,2023,25.9,1813.0
Karawang,-6.321,107.339,2024,26.2,2969.0
Karawang,-6.321,107.339,2025,25.7,2831.0
Bekasi,-6.374,107.13,2021,24.7,3015.0
Bekasi,-6.374,107.13,2022,24.7,2592.0
Bekasi,-6.374,107.13,2023,25.3,1738.0
Bekasi,-6.374,107.13,2024,25.6,2871.0
Bekasi,-6.374,107.13,2025,25.0,2820.0
Bandung Barat,-6.917,107.425,2021,21.5,3560.0
Bandung Barat,-6.917,107.425,2022,21.5,3419.0
Bandung Barat,-6.917,107.425,2023,21.8,2268.0
Bandung Barat,-6.917,107.425,2024,22.2,3794.0
Bandung Barat,-6.917,107.425,2025,21.7,3294.0
Pangandaran,-7.689,108.65,2021,25.4,2892.0
Pangandaran,-7.689,108.65,2022,25.4,3532.0
Pangandaran,-7.689,108.65,2023,25.2,1788.0
Pangandaran,-7.689,108.65,2024,25.9,2610.0
Pangandaran,-7.689,108.65,2025,25.6,3517.0
Kota Bogor,-6.597,106.806,2021,24.7,3015.0
Kota Bogor,-6.597,106.806,2022,24.7,2592.0
Kota Bogor,-6.597,106.806,2023,25.3,1738.0
Kota Bogor,-6.597,106.806,2024,25.6,2871.0
Kota Bogor,-6.597,106.806,2025,25.0,2820.0
Kota Sukabumi,-6.918,106.927,2021,23.9,3375.0
Kota Sukabumi,-6.918,106.927,2022,23.8,3343.0
Kota Sukabumi,-6.918,106.927,2023,24.1,2149.0
Kota Sukabumi,-6.918,106.927,2024,24.6,3651.0
Kota Sukabumi,-6.918,106.927,2025,24.1,3279.0
Kota Bandung,-6.914,107.609,2021,21.5,3560.0
Kota Bandung,-6.914,107.609,2022,21.5,3419.0
Kota Bandung,-6.914,107.609,2023,21.8,2268.0
Kota Bandung,-6.914,107.609,2024,22.2,3794.0
Kota Bandung,-6.914,107.609,2025,21.7,3294.0
Kota Cirebon,-6.706,108.557,2021,27.9,2809.0
Kota Cirebon,-6.706,108.557,2022,27.9,2914.0
Kota Cirebon,-6.706,108.557,2023,28.2,1909.0
Kota Cirebon,-6.706,108.557,2024,28.6,2435.0
Kota Cirebon,-6.706,108.557,2025,28.1,3269.0
Kota Bekasi,-6.238,106.975,2021,27.3,2950.0
Kota Bekasi,-6.238,106.975,2022,27.3,2347.0
Kota Bekasi,-6.238,106.975,2023,27.8,1624.0
Kota Bekasi,-6.238,106.975,2024,28.1,2399.0
Kota Bekasi,-6.238,106.975,2025,27.6,2925.0
Kota Depok,-6.401,106.819,2021,24.7,3015.0
Kota Depok,-6.401,106.819,2022,24.7,2592.0
Kota Depok,-6.401,106.819,2023,25.3,1738.0
Kota Depok,-6.401,106.819,2024,25.6,2871.0
Kota Depok,-6.401,106.819,2025,25.0,2820.0
Kota Cimahi,-6.884,107.543,2021,21.5,3560.0
Kota Cimahi,-6.884,107.543,2022,21.5,3419.0
Kota Cimahi,-6.884,107.543,2023,21.8,2268.0
Kota Cimahi,-6.884,107.543,2024,22.2,3794.0
Kota Cimahi,-6.884,107.543,2025,21.7,3294.0
Kota Tasikmalaya,-7.327,108.219,2021,24.1,3800.0
Kota Tasikmalaya,-7.327,108.219,2022,24.1,4631.0
Kota Tasikmalaya,-7.327,108.219,2023,23.8,2804.0
Kota Tasikmalaya,-7.327,108.219,2024,24.5,4128.0
Kota Tasikmalaya,-7.327,108.219,2025,24.3,4379.0
Kota Banjar,-7.365,108.538,2021,25.4,2892.0
Kota Banjar,-7.365,108.538,2022,25.4,3532.0
Kota Banjar,-7.365,108.538,2023,25.2,1788.0
Kota Banjar,-7.365,108.538,2024,25.9,2610.0
Kota Banjar,-7.365,108.538,2025,25.6,3517.0
