Tahun,Kab/Kota,Kepadatan_Penduduk_jiwa_per_km2,Persen_Sanitasi_Layak,Curah_Hujan_mm,Suhu_Udara_Celcius,Angka_Kesakitan_DBD_per_100rb
2021,Bogor,2025,63.91,3015.0,24.7,20.63
2021,Sukabumi,666,64.35,3375.0,23.9,21.46
2021,Cianjur,653,58.52,3375.0,23.9,26.72
2021,Bandung,2074,64.51,3560.0,21.5,59.9
2021,Garut,847,43.73,2962.0,22.9,26.4
2021,Tasikmalaya,738,49.35,3800.0,24.1,10.2
2021,Ciamis,875,66.59,3800.0,24.1,121.25
2021,Kuningan,1063,80.98,2725.0,25.0,33.3
2021,Cirebon,2327,83.41,2725.0,25.0,38.06
2021,Majalengka,1095,80.59,2962.0,22.9,95.23
2021,Sumedang,764,87.87,2962.0,22.9,61.24
2021,Indramayu,907,89.75,2919.0,26.6,12.32
2021,Subang,849,85.82,3053.0,25.4,16.99
2021,Purwakarta,1225,72.61,3053.0,25.4,54.94
2021,Karawang,1494,77.19,3053.0,25.4,56.06
2021,Bekasi,2578,81.02,3015.0,24.7,8.13
2021,Bandung Barat,1389,63.78,3560.0,21.5,56.33
2021,Pangandaran,423,81.49,2892.0,25.4,48.82
2021,Kota Bogor,8881,75.35,3015.0,24.7,20.85
2021,Kota Sukabumi,7271,39.64,3375.0,23.9,196.86
2021,Kota Bandung,14630,48.9,3560.0,21.5,111.15
2021,Kota Cirebon,9017,92.71,2809.0,27.9,53.05
2021,Kota Bekasi,12414,97.54,2950.0,27.3,53.32
2021,Kota Depok,10415,97.06,3015.0,24.7,51.36
2021,Kota Cimahi,14556,78.67,3560.0,21.5,61.9
2021,Kota Tasikmalaya,4218,52.62,3800.0,24.1,212.2
2021,Kota Banjar,1792,81.92,2892.0,25.4,79.65
2022,Bogor,1861,73.47,2592.0,24.7,31
2022,Sukabumi,674,63.32,3343.0,23.8,15
2022,Cianjur,700,61.76,3343.0,23.8,35
2022,Bandung,2136,70.85,3419.0,21.5,110
2022,Garut,847,51.9,2971.0,22.8,34
2022,Tasikmalaya,705,54.39,4631.0,24.1,18
2022,Ciamis,782,75.5,4631.0,24.1,58
2022,Kuningan,1003,69.29,2886.0,24.9,134
2022,Cirebon,2150,86.76,2886.0,24.9,82
2022,Majalengka,1004,81.26,2971.0,22.8,52
2022,Sumedang,745,80.59,2971.0,22.8,184
2022,Indramayu,902,86.64,2732.0,26.5,21
2022,Subang,750,80.02,2605.0,25.4,62
2022,Purwakarta,1036,82.46,2605.0,25.4,43
2022,Karawang,1309,85.1,2605.0,25.4,56
2022,Bekasi,2570,89.99,2592.0,24.7,25
2022,Bandung Barat,1439,50.96,3419.0,21.5,74
2022,Pangandaran,383,83.0,3532.0,25.4,123
2022,Kota Bogor,9550,67.93,2592.0,24.7,137
2022,Kota Sukabumi,7377,45.8,3343.0,23.8,310
2022,Kota Bandung,14776,49.85,3419.0,21.5,201
2022,Kota Cirebon,8646,90.62,2914.0,27.9,84
2022,Kota Bekasi,12159,90.8,2347.0,27.3,78
2022,Kota Depok,10622,96.21,2592.0,24.7,87
2022,Kota Cimahi,13557,77.18,3419.0,21.5,111
2022,Kota Tasikmalaya,3988,52.62,4631.0,24.1,270
2022,Kota Banjar,1576,88.26,3532.0,25.4,60
2023,Bogor,1881,71.49,1738.0,25.3,31
2023,Sukabumi,673,53.21,2149.0,24.1,4
2023,Cianjur,704,63.83,2149.0,24.1,35
2023,Bandung,2138,66.67,2268.0,21.8,20
2023,Garut,865,54.68,1917.0,22.9,27
2023,Tasikmalaya,705,51.33,2804.0,23.8,5
2023,Ciamis,784,71.38,2804.0,23.8,19
2023,Kuningan,1007,83.03,1688.0,25.1,57
2023,Cirebon,2202,89.02,1688.0,25.1,33
2023,Majalengka,1008,82.67,1917.0,22.9,18
2023,Sumedang,752,72.55,1917.0,22.9,110
2023,Indramayu,912,95.9,1790.0,27.0,12
2023,Subang,762,89.4,1813.0,25.9,39
2023,Purwakarta,1044,77.33,1813.0,25.9,45
2023,Karawang,1320,83.02,1813.0,25.9,42
2023,Bekasi,2588,91.54,1738.0,25.3,18
2023,Bandung Barat,1449,56.93,2268.0,21.8,78
2023,Pangandaran,382,86.91,1788.0,25.2,62
2023,Kota Bogor,9614,74.36,1738.0,25.3,132
2023,Kota Sukabumi,7465,44.76,2149.0,24.1,124
2023,Kota Bandung,15047,56.01,2268.0,21.8,78
2023,Kota Cirebon,8671,93.27,1909.0,28.2,71
2023,Kota Bekasi,12332,98.52,1624.0,27.8,39
2023,Kota Depok,10732,97.43,1738.0,25.3,41
2023,Kota Cimahi,13924,76.37,2268.0,21.8,55
2023,Kota Tasikmalaya,4033,56.25,2804.0,23.8,52
2023,Kota Banjar,1584,89.06,1788.0,25.2,28
2024,Bogor,1899,67.18,2871.0,25.6,60
2024,Sukabumi,679,51.9,3651.0,24.6,30
2024,Cianjur,712,63.3,3651.0,24.6,75
2024,Bandung,2156,69.12,3794.0,22.2,66
2024,Garut,876,49.99,2930.0,23.5,120
2024,Tasikmalaya,710,54.68,4128.0,24.5,37
2024,Ciamis,789,77.12,4128.0,24.5,113
2024,Kuningan,1018,84.64,2254.0,25.6,176
2024,Cirebon,2228,87.92,2254.0,25.6,77
2024,Majalengka,1017,83.61,2930.0,23.5,92
2024,Sumedang,758,77.32,2930.0,23.5,194
2024,Indramayu,922,97.27,2556.0,27.3,27
2024,Subang,768,90.29,2969.0,26.2,116
2024,Purwakarta,1058,83.01,2969.0,26.2,104
2024,Karawang,1335,85.99,2969.0,26.2,128
2024,Bekasi,2617,89.16,2871.0,25.6,57
2024,Bandung Barat,1468,54.02,3794.0,22.2,195
2024,Pangandaran,385,90.3,2610.0,25.9,205
2024,Kota Bogor,9683,71.49,2871.0,25.6,289
2024,Kota Sukabumi,7571,45.88,3651.0,24.6,446
2024,Kota Bandung,15176,55.9,3794.0,22.2,295
2024,Kota Cirebon,8744,95.38,2435.0,28.6,160
2024,Kota Bekasi,12411,99.08,2399.0,28.1,158
2024,Kota Depok,10823,98.76,2871.0,25.6,233
2024,Kota Cimahi,14110,76.44,3794.0,22.2,141
2024,Kota Tasikmalaya,4081,53.16,4128.0,24.5,240
2024,Kota Banjar,1601,91.07,2610.0,25.9,191
2025,Bogor,1912,67.17,2820.0,25.0,39
2025,Sukabumi,685,59.25,3279.0,24.1,10
2025,Cianjur,719,61.11,3279.0,24.1,48
2025,Bandung,2173,70.4,3294.0,21.7,49
2025,Garut,886,53.35,3286.0,23.0,90
2025,Tasikmalaya,715,58.76,4379.0,24.3,44
2025,Ciamis,793,75.84,4379.0,24.3,58
2025,Kuningan,1027,89.38,3397.0,25.1,105
2025,Cirebon,2252,90.78,3397.0,25.1,48
2025,Majalengka,1025,81.85,3286.0,23.0,86
2025,Sumedang,763,86.77,3286.0,23.0,121
2025,Indramayu,931,93.41,3029.0,26.7,43
2025,Subang,774,90.56,2831.0,25.7,75
2025,Purwakarta,1070,74.37,2831.0,25.7,44
2025,Karawang,1349,86.79,2831.0,25.7,294
2025,Bekasi,2640,90.24,2820.0,25.0,84
2025,Bandung Barat,1486,55.95,3294.0,21.7,97
2025,Pangandaran,387,93.02,3517.0,25.6,58
2025,Kota Bogor,9731,74.41,2820.0,25.0,72
2025,Kota Sukabumi,7673,46.61,3279.0,24.1,274
2025,Kota Bandung,15300,56.5,3294.0,21.7,142
2025,Kota Cirebon,8812,92.67,3269.0,28.1,374
2025,Kota Bekasi,12431,97.93,2925.0,27.6,153
2025,Kota Depok,10845,97.68,2820.0,25.0,142
2025,Kota Cimahi,14291,79.18,3294.0,21.7,63
2025,Kota Tasikmalaya,4128,56.37,4379.0,24.3,92
2025,Kota Banjar,1618,93.02,3517.0,25.6,46
